player_id,nationality_code,nationality_name,birth_year
1694,LTU,Lithuania,1991
2875,ROU,Romania,1993
6546,SWE,Sweden,1989
9896,SRB,Serbia,1998
11797,CUB,Cuba,1995
11801,ROU,Romania,1990
12684,ROU,Romania,2007
13251,USA,United States of America,1999
13303,ROU,Romania,2009
13514,GHA,Ghana,1998
13926,PAN,Panama,1999
13927,AUS,Australia,1992
13935,ROU,Romania,2008
13936,ROU,Romania,2009
13943,USA,United States of America,1998
14185,USA,United States of America,2000
861615,SWE,Sweden,1989
957956,AUS,Australia,1992
998233,SRB,Serbia,1998
1180150,PAN,Panama,1999
1183034,USA,USA,1999
1184708,LTU,Lithuania,1991
1185082,USA,USA,2000
1201378,ROU,Romania,1990
1201381,CUB,Cuba,1995
1441246,GHA,Ghana,1998
1545209,ROU,Romania,2007
1564127,ROU,Romania,1993
1938084,ROU,Romania,2009
1953813,USA,USA,1998
